FirstName1 LastName1  associate 75214.89
FirstName738 LastName738  assistant 75014.58
FirstName739 LastName739  assistant 72462.18
FirstName740 LastName740  full 125697.58
FirstName741 LastName741  assistant 57194.92
FirstName742 LastName742  assistant 64092.96
FirstName743 LastName743  assistant 70148.14
FirstName744 LastName744  associate 88570.69
FirstName745 LastName745  full 129325.74
FirstName746 LastName746  assistant 53830.20
FirstName747 LastName747  assistant 77620.50
FirstName748 LastName748  full 76493.39
FirstName749 LastName749  full 119881.56
FirstName750 LastName750  assistant 60224.68
FirstName751 LastName751  assistant 54138.66
FirstName752 LastName752  associate 100904.41
FirstName753 LastName753  full 119431.95
FirstName754 LastName754  associate 106468.39
FirstName755 LastName755  full 106093.94
FirstName756 LastName756  full 78535.68
FirstName757 LastName757  assistant 64490.86
FirstName758 LastName758  associate 73273.80
FirstName759 LastName759  full 108797.11
FirstName760 LastName760  assistant 51627.08
FirstName761 LastName761  assistant 65322.61
FirstName762 LastName762  associate 84400.81
FirstName763 LastName763  associate 60033.29
FirstName764 LastName764  assistant 67344.30
FirstName765 LastName765  assistant 55970.04
FirstName766 LastName766  associate 89618.68
FirstName767 LastName767  associate 68929.43
FirstName768 LastName768  associate 88415.04
FirstName769 LastName769  assistant 53717.03
FirstName770 LastName770  full 106435.03
FirstName771 LastName771  full 78769.94
FirstName772 LastName772  full 121602.65
FirstName773 LastName773  assistant 65368.36
FirstName774 LastName774  associate 61700.41
FirstName775 LastName775  full 92119.16
FirstName776 LastName776  assistant 51038.02
FirstName777 LastName777  full 88239.39
FirstName778 LastName778  assistant 79229.15
FirstName779 LastName779  assistant 66186.81
FirstName780 LastName780  assistant 77371.53
FirstName781 LastName781  full 106051.87
FirstName782 LastName782  associate 91090.97
FirstName783 LastName783  assistant 62158.30
FirstName784 LastName784  full 119082.21
FirstName785 LastName785  associate 106992.31
FirstName786 LastName786  associate 87212.84
FirstName787 LastName787  assistant 60489.76
FirstName788 LastName788  associate 97423.01
FirstName789 LastName789  assistant 66545.08
FirstName790 LastName790  full 98680.80
FirstName791 LastName791  associate 77771.89
FirstName792 LastName792  assistant 67212.45
FirstName793 LastName793  assistant 62345.90
FirstName794 LastName794  assistant 56899.06
FirstName795 LastName795  associate 68450.31
FirstName796 LastName796  assistant 52481.08
FirstName797 LastName797  associate 66988.84
FirstName798 LastName798  associate 88624.45
FirstName799 LastName799  full 115198.50
FirstName800 LastName800  full 129433.48
FirstName801 LastName801  associate 99554.93
FirstName802 LastName802  full 110569.92
FirstName803 LastName803  assistant 74081.96
FirstName804 LastName804  assistant 60680.43
FirstName805 LastName805  associate 77091.65
FirstName806 LastName806  full 127847.19
FirstName807 LastName807  assistant 50878.91
FirstName808 LastName808  assistant 67784.53
FirstName809 LastName809  associate 94965.60
FirstName810 LastName810  associate 93122.60
FirstName811 LastName811  associate 106181.86
FirstName812 LastName812  assistant 59881.03
FirstName813 LastName813  associate 77355.34
FirstName814 LastName814  assistant 60291.33
FirstName815 LastName815  associate 85669.14
FirstName816 LastName816  full 113378.85
FirstName817 LastName817  assistant 79697.02
FirstName818 LastName818  full 102670.08
FirstName819 LastName819  assistant 69117.40
FirstName820 LastName820  assistant 75043.98
FirstName821 LastName821  associate 100531.26
FirstName822 LastName822  assistant 53096.80
FirstName823 LastName823  full 82098.51
FirstName824 LastName824  assistant 69537.95
FirstName825 LastName825  full 86216.35
FirstName826 LastName826  assistant 76326.42
FirstName827 LastName827  full 95818.32
FirstName828 LastName828  assistant 55120.43
FirstName829 LastName829  full 80414.08
FirstName830 LastName830  associate 76726.92
FirstName831 LastName831  full 75331.60
FirstName832 LastName832  assistant 79606.61
FirstName833 LastName833  associate 71579.48
FirstName834 LastName834  full 109209.34
FirstName835 LastName835  assistant 69226.44
FirstName836 LastName836  associate 92093.88
FirstName837 LastName837  full 129466.20
FirstName838 LastName838  associate 94037.42
FirstName839 LastName839  associate 62003.55
FirstName840 LastName840  full 128630.79
FirstName841 LastName841  assistant 70414.35
FirstName842 LastName842  associate 78201.63
FirstName843 LastName843  associate 61851.57
FirstName844 LastName844  full 115919.81
FirstName845 LastName845  assistant 60170.83
FirstName846 LastName846  assistant 63425.53
FirstName847 LastName847  associate 62878.54
FirstName848 LastName848  assistant 52023.55
FirstName849 LastName849  associate 82564.46
FirstName850 LastName850  assistant 71182.71
FirstName851 LastName851  full 85565.67
FirstName852 LastName852  full 102089.65
FirstName853 LastName853  assistant 55620.35
FirstName854 LastName854  full 101574.59
FirstName855 LastName855  full 78409.59
FirstName856 LastName856  full 115439.85
FirstName857 LastName857  associate 61026.74
FirstName858 LastName858  full 98560.88
FirstName859 LastName859  full 128267.54
FirstName860 LastName860  associate 79820.59
FirstName861 LastName861  full 121275.87
FirstName862 LastName862  full 93096.13
FirstName863 LastName863  assistant 51872.07
FirstName864 LastName864  associate 70147.39
FirstName865 LastName865  full 126155.73
FirstName866 LastName866  associate 70582.52
FirstName867 LastName867  associate 86149.06
FirstName868 LastName868  assistant 67279.77
FirstName869 LastName869  associate 80066.34
FirstName870 LastName870  assistant 54174.05
FirstName871 LastName871  full 129121.84
FirstName872 LastName872  associate 88795.65
FirstName873 LastName873  associate 109195.30
FirstName874 LastName874  associate 78956.61
FirstName875 LastName875  full 113269.41
FirstName876 LastName876  assistant 65770.92
FirstName877 LastName877  full 88708.32
FirstName878 LastName878  full 122836.92
FirstName879 LastName879  assistant 54824.00
FirstName880 LastName880  assistant 75886.24
FirstName881 LastName881  associate 92584.37
FirstName882 LastName882  full 83701.09
FirstName883 LastName883  assistant 56952.12
FirstName884 LastName884  assistant 50635.31
FirstName885 LastName885  associate 109685.82
FirstName886 LastName886  full 88097.93
FirstName887 LastName887  assistant 77302.38
FirstName888 LastName888  assistant 61781.94
FirstName889 LastName889  full 84885.78
FirstName890 LastName890  full 127887.63
FirstName891 LastName891  full 93327.57
FirstName892 LastName892  assistant 70130.35
FirstName893 LastName893  associate 78579.15
FirstName894 LastName894  assistant 78532.69
FirstName895 LastName895  full 112900.67
FirstName896 LastName896  associate 66306.07
FirstName897 LastName897  assistant 77261.55
FirstName898 LastName898  assistant 55639.23
FirstName899 LastName899  associate 62277.91
FirstName900 LastName900  assistant 68382.21
FirstName901 LastName901  full 108377.63
FirstName902 LastName902  assistant 71080.82
FirstName903 LastName903  assistant 60017.63
FirstName904 LastName904  associate 78063.77
FirstName905 LastName905  full 91405.05
FirstName906 LastName906  full 77327.30
FirstName907 LastName907  associate 108703.28
FirstName908 LastName908  full 121958.20
FirstName909 LastName909  assistant 71793.97
FirstName910 LastName910  full 99313.73
FirstName911 LastName911  full 123394.59
FirstName912 LastName912  associate 76725.43
FirstName913 LastName913  full 83756.13
FirstName914 LastName914  associate 103777.34
FirstName915 LastName915  associate 101663.62
FirstName916 LastName916  full 116613.92
FirstName917 LastName917  full 93316.74
FirstName918 LastName918  assistant 62307.47
FirstName919 LastName919  full 100549.28
FirstName920 LastName920  associate 70765.09
FirstName921 LastName921  full 107563.44
FirstName922 LastName922  assistant 66314.33
FirstName923 LastName923  associate 76413.50
FirstName924 LastName924  assistant 55056.25
FirstName925 LastName925  associate 76748.86
FirstName926 LastName926  full 99568.09
FirstName927 LastName927  full 119673.55
FirstName928 LastName928  associate 109792.48
FirstName929 LastName929  associate 66657.61
FirstName930 LastName930  associate 74368.25
FirstName931 LastName931  assistant 76039.17
FirstName932 LastName932  assistant 70882.55
FirstName933 LastName933  full 82327.94
FirstName934 LastName934  full 78599.97
FirstName935 LastName935  full 119062.30
FirstName936 LastName936  associate 98753.74
FirstName937 LastName937  associate 90375.95
FirstName938 LastName938  assistant 68867.77
FirstName939 LastName939  full 108566.35
FirstName940 LastName940  assistant 68711.67
FirstName941 LastName941  full 117093.01
FirstName942 LastName942  associate 100038.57
FirstName943 LastName943  assistant 68355.52
FirstName944 LastName944  associate 106868.57
FirstName945 LastName945  associate 69439.90
FirstName946 LastName946  full 118528.12
FirstName947 LastName947  assistant 60192.81
FirstName948 LastName948  full 128757.53
FirstName949 LastName949  assistant 65187.72
FirstName950 LastName950  assistant 59663.90
FirstName951 LastName951  assistant 78753.49
FirstName952 LastName952  associate 96282.32
FirstName953 LastName953  full 84148.77
FirstName954 LastName954  assistant 54066.54
FirstName955 LastName955  full 112215.62
FirstName956 LastName956  assistant 56972.20
FirstName957 LastName957  full 98462.49
FirstName958 LastName958  associate 100953.74
FirstName959 LastName959  assistant 77037.78
FirstName960 LastName960  full 113998.89
FirstName961 LastName961  full 125554.14
FirstName962 LastName962  associate 65833.10
FirstName963 LastName963  full 81518.09
FirstName964 LastName964  full 84117.37
FirstName965 LastName965  full 97412.69
FirstName966 LastName966  assistant 54658.49
FirstName967 LastName967  associate 97092.78
FirstName968 LastName968  full 110488.91
FirstName969 LastName969  associate 89849.82
FirstName970 LastName970  assistant 57836.10
FirstName971 LastName971  assistant 62409.47
FirstName972 LastName972  assistant 60599.32
FirstName973 LastName973  full 81204.00
FirstName974 LastName974  assistant 58772.63
FirstName975 LastName975  associate 85001.27
FirstName976 LastName976  full 88034.63
FirstName977 LastName977  full 75464.05
FirstName978 LastName978  full 111450.44
FirstName979 LastName979  assistant 72994.56
FirstName980 LastName980  assistant 74332.67
FirstName981 LastName981  assistant 62542.72
FirstName982 LastName982  associate 84164.91
FirstName983 LastName983  assistant 64181.27
FirstName984 LastName984  associate 74179.23
FirstName985 LastName985  full 86883.63
FirstName986 LastName986  full 102361.38
FirstName987 LastName987  assistant 61253.70
FirstName988 LastName988  associate 74071.93
FirstName989 LastName989  assistant 73905.69
FirstName990 LastName990  full 115411.14
FirstName991 LastName991  assistant 61250.76
FirstName992 LastName992  associate 96329.07
FirstName993 LastName993  assistant 60156.23
FirstName994 LastName994  assistant 51781.51
FirstName995 LastName995  associate 100047.68
FirstName996 LastName996  assistant 69910.73
FirstName997 LastName997  assistant 54909.18
FirstName998 LastName998  associate 61995.03
FirstName999 LastName999  assistant 66901.51
FirstName1000 LastName1000  assistant 52703.83
